Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
left_ankle_pitch_link,-7.8974E-09,3.999E-08,1.2906E-15,0,0,0,0.043455,1.2169E-06,-1.3839E-17,-4.252E-12,6.4906E-06,5.3179E-14,6.7102E-06,0,0,0,0,0,0,package://rel2/meshes/left_ankle_pitch_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://rel2/meshes/left_ankle_pitch_link.STL,,LGL5-1,CLL5,ALL5,left_ankle_pitch_joint,revolute,0,-0.32,0,3.1416,0,0.5236,left_knee_link,0,0,1,100,12,-0.7,0.87,,,2,2,,,,
left_ankle_roll_link,-1.1259E-06,-0.033529,0.02588,0,0,0,0.34252,0.00112,1.4122E-10,-1.6584E-08,0.00113,1.1635E-05,0.0002,0,0,0,0,0,0,package://rel2/meshes/left_ankle_roll_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://rel2/meshes/left_ankle_roll_link.STL,,LGL6A-1;LGL6B-1,CLL6,ALL6,left_ankle_roll_joint,revolute,0,0,0,0,-1.5708,0,left_ankle_pitch_link,0,0,1,100,12,-0.44,0.44,,,2,2,,,,
left_foot_ee_link,8.9304E-15,-2.7756E-16,0.0055,0,0,0,0.000975,4.0625E-09,-1.0877E-23,-1.7125E-23,4.0625E-09,-1.7854E-23,4.0625E-09,0,0,0,0,0,0,package://rel2/meshes/left_foot_ee_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://rel2/meshes/left_foot_ee_link.STL,,Dummy-3,CLL7,ALL6,left_foot_ee_joint,fixed,0,-0.056,0,1.5708,-1.5708,0,left_ankle_roll_link,0,0,0,,,,,,,,,,,,
left_ankle_pitch_motor1_link,3.0355E-09,-0.01852,0.011673,0,0,0,0.031448,1.2663E-05,-5.2945E-13,-2.4631E-13,3.8092E-06,-4.6528E-07,1.5928E-05,0,0,0,0,0,0,package://rel2/meshes/left_ankle_pitch_motor1_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://rel2/meshes/left_ankle_pitch_motor1_link.STL,,LGL51-1,CLL51,ALL51,left_ankle_pitch_motor1_joint,continuous,0.015,-0.052915,-0.023,3.1416,0,1.7764,left_knee_link,0,0,1,50,12,-4,4,,,1,1,,,,
left_ankle_pitch_linkage1_link,0.13224,0.0023241,-2.7751E-05,0,0,0,0.066732,1.4166E-06,5.8871E-06,-7.0295E-08,0.00047775,8.4139E-09,0.00047846,0,0,0,0,0,0,package://rel2/meshes/left_ankle_pitch_linkage1_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://rel2/meshes/left_ankle_pitch_linkage1_link.STL,,LGL511-1,CLL511,ALL511,left_ankle_pitch_linkage1_joint,continuous,0,-0.045,0,0,0,-2.9182,left_ankle_pitch_motor1_link,0,0,1,50,12,-4,4,,,1,1,,,,
left_ankle_pitch_motor2_link,-0.01852,1.4156E-09,0.011673,0,0,0,0.031448,3.8092E-06,-6.5397E-13,-4.6528E-07,1.2663E-05,1.6914E-13,1.5928E-05,0,0,0,0,0,0,package://rel2/meshes/left_ankle_pitch_motor2_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://rel2/meshes/left_ankle_pitch_motor2_link.STL,,LGL61-1,CLL61,ALL61,left_ankle_pitch_motor2_joint,continuous,0.0175,-0.12287,0.023,0,0,0.20869,left_knee_link,0,0,1,50,12,-4,4,,,1,1,,,,
left_ankle_pitch_linkage2_link,0.097472,-0.002115,-2.9693E-05,0,0,0,0.050552,1.1455E-06,-3.1638E-06,-4.4417E-08,0.0002065,-8.5102E-09,0.0002071,0,0,0,0,0,0,package://rel2/meshes/left_ankle_pitch_linkage2_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://rel2/meshes/left_ankle_pitch_linkage2_link.STL,,LGL611-1,CLL611,ALL611,left_ankle_pitch_linkage2_joint,continuous,-0.045,0,0,0,0,-1.8165,left_ankle_pitch_motor2_link,0,0,1,50,12,-4,4,,,1,1,,,,
left_knee_motor_link,0.0052166,2.2204E-16,0.023896,0,0,0,0.1157,2.9641E-05,-4.2352E-21,1.1846E-06,4.4949E-05,6.0351E-21,7.1289E-05,0,0,0,0,0,0,package://rel2/meshes/left_knee_motor_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://rel2/meshes/left_knee_motor_link.STL,,LGL41-1,CLL41,ALL41,left_knee_motor_joint,continuous,-0.006,-0.1401,0,0,0,0.043633,left_leg_pitch_link,0,0,1,250,12,-4,4,,,1,1,,,,
left_knee_linkage_link,0.0951262329787682,-1.94289029309402E-16,0.0176212036276187,0,0,0,0.179427999184621,3.34555823485642E-05,-3.46436475427009E-19,9.91800378006747E-05,0.000529295144114482,8.13151629364128E-20,0.000501637553413622,0,0,0,0,0,0,package://rel2/meshes/left_knee_linkage_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://rel2/meshes/left_knee_linkage_link.STL,,LGL411-1,CLL411,ALL411,left_knee_linkage_joint,continuous,0.045,0,0,0,0,-1.5811,left_knee_motor_link,0,0,1,250,12,-4,4,,,1,1,,,,
right_leg_roll_link,-0.0048592,0.00012789,-0.0028082,0,0,0,1.7968,0.00372,-2.9821E-07,3.4702E-05,0.00286,-3.6592E-08,0.00262,0,0,0,0,0,0,package://rel2/meshes/right_leg_roll_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://rel2/meshes/right_leg_roll_link.STL,,LGR1A-1;LGR1B-1,CRL1,ARL1,right_leg_roll_joint,revolute,-0.117,-0.032,0,0,0,1.5708,waist_roll_link,0,0,1,100,12,-1.57,0.44,,,2,2,,,,
